,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth,Utils,Other
2004-07-01,9.975702417458412e-17,2.018910546392134e-16,0.0,0.0,0.20841256949236597,0.0,1.5210898678635783e-16,0.7915874305076344,3.487676582703278e-17,3.882814032445124e-17
2004-08-01,0.0,0.0,0.0,0.04934978206039062,0.13872180850268284,5.804563634829634e-17,5.896734692466477e-18,0.8119284094369266,0.0,2.8632685434543017e-16
2004-09-01,2.707116981939747e-18,0.0,8.63639085154982e-18,0.25469054694938137,0.05525645384141496,1.4546164553426304e-17,3.517251837979255e-17,0.6900529992092036,8.400610197250869e-17,0.0
2004-10-01,0.0,6.831951700426834e-17,0.0,0.5955155349038994,0.08225594685610509,7.347574555485922e-17,1.1245532725589832e-16,0.32222851823999527,4.356556512093451e-17,3.107004902217674e-16
2004-11-01,1.4007343022754535e-16,0.0,9.105551940528469e-17,0.5063860810611428,0.11557312210784583,0.0,0.0,0.37804079683101127,3.552163233972076e-17,4.160151909683985e-17
2004-12-01,0.0,0.0,0.0,0.7210626305564999,0.14006717956991926,5.317862567108194e-17,1.5706022607719288e-18,0.0006955918457229159,0.0,0.13817459802785811
2005-01-01,2.3445333822618895e-16,4.14410208095957e-17,0.0,0.5403957264190381,0.10060659446124613,2.9603371376582078e-16,3.9194292119279506e-17,0.15056022980425107,8.99709264895836e-17,0.20843744931546426
2005-02-01,0.0,0.0,4.3234403107846446e-17,0.8821781154225083,0.11782188457749168,8.983863478317975e-18,0.0,6.8605659775804744e-18,0.0,7.280623942375705e-17
2005-03-01,0.0,4.485681410158257e-17,7.329185404009343e-18,1.0,7.158028746337668e-17,0.0,2.4203053050793047e-17,0.0,3.662414017960499e-17,3.435088594902535e-17
2005-04-01,0.0,0.0,9.502161057370767e-18,0.9999999999999999,7.78190232765913e-17,0.0,2.2632098254550783e-17,2.7755575615628914e-16,5.770734928927863e-18,0.0
2005-05-01,5.933999941386747e-18,1.3183634467778817e-17,4.3451026313494276e-17,0.9096280012919035,0.0,2.804713037561384e-17,0.0,0.09037199870809666,0.0,6.772331845887377e-17
2005-06-01,1.0721003397151043e-17,0.0,4.902762730253225e-17,0.8696499767239597,0.0,0.0,2.779954364630136e-17,0.13035002327604053,3.4550543795099378e-18,4.38698542736155e-17
2005-07-01,2.5509757534993128e-17,1.8650562356374917e-17,8.62616941796254e-17,0.9999999999999999,2.041063069657194e-17,0.0,3.870346485519543e-17,6.245004513516506e-17,0.0,1.9420419218623956e-17
2005-08-01,0.0,1.3620540587813147e-17,0.0,1.0,0.0,6.811782164308724e-17,0.0,0.0,9.007867401662485e-19,1.0657429815820552e-16
2005-09-01,0.0,5.546517989140509e-17,1.075547148805686e-16,0.9999999999999999,0.0,2.0870348935948942e-16,0.0,0.0,0.0,8.942700520693859e-17
2005-10-01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.105683779318803e-17
2005-11-01,0.0,9.83138126673118e-17,0.0,1.0,4.106793796007716e-17,0.0,0.0,3.48046880279387e-17,6.082554016759081e-17,0.0
2005-12-01,0.0,0.0,0.0,1.0,2.971316003574101e-18,0.0,0.0,1.988486989434798e-17,9.151268386741483e-18,0.0
2006-01-01,1.3807105879219415e-16,0.0,0.0,1.0,2.5529701574082867e-16,0.0,0.0,8.588229527028504e-17,1.2317503830577321e-16,5.076733193525836e-17
2006-02-01,0.0,1.6138910418918888e-16,1.8301332671555315e-16,1.0,0.0,1.3587678878606205e-16,0.0,0.0,0.0,0.0
2006-03-01,6.95883965304894e-19,0.0,4.85722573273506e-17,1.0,3.4858214687677785e-17,6.569207690287925e-17,0.0,5.1406078886278264e-17,0.0,0.0
2006-04-01,0.0,2.7711922393319853e-17,2.883977778811442e-17,1.0,0.0,1.773943846507911e-17,0.0,1.5306862214992675e-17,0.0,3.893046157484122e-18
2006-05-01,0.0,4.097378778071089e-17,1.465841337200402e-16,1.0,0.0,3.762021814066921e-17,0.0,5.9136750179440136e-18,0.0,0.0
2006-06-01,6.866749301086912e-17,0.0,0.0,1.0,4.5848976672291375e-17,0.0,8.880547813388632e-17,4.0509822295701344e-17,0.0,1.5863319896204008e-16
2006-07-01,5.121634297937393e-18,5.54723327033917e-17,1.6653345369377348e-16,0.9999999999999999,1.966390623892536e-17,0.0,0.0,0.0,4.1492398597987117e-17,6.209325225860259e-18
2006-08-01,4.4464870682980115e-17,0.0,0.0,1.0,2.894419159405751e-17,0.0,2.3484168283030203e-18,8.106397066959261e-18,0.0,0.0
2006-09-01,0.0,4.015954353026073e-18,0.0,1.0,0.0,1.1512899284348459e-17,0.0,0.0,0.0,0.0
2006-10-01,0.0,1.5305334347643948e-17,0.0,1.0,0.0,2.6844110309412708e-17,1.1622005247439501e-16,1.5114887047077542e-18,0.0,0.0
2006-11-01,3.184644659951129e-17,0.0,1.262549414505432e-16,1.0,2.5827354876900423e-17,0.0,0.0,3.9367493955173083e-17,0.0,4.001224413718432e-18
2006-12-01,1.2417079343913277e-17,0.0,1.2192518666397056e-16,1.0,9.909393735921312e-18,0.0,1.0593006118056536e-17,4.5142655651291003e-17,0.0,7.249996057697594e-17
2007-01-01,4.3310815468456164e-17,0.0,5.910506112494071e-17,0.9999999999999999,6.5998739826047945e-18,0.0,2.2922701157991346e-17,0.0,9.71445146547012e-17,0.0
2007-02-01,0.0,0.0,3.2311450679609986e-17,1.0,0.0,7.80259054761248e-18,0.0,3.213300449481903e-17,0.0,1.444290983525914e-16
2007-03-01,4.284412275854649e-18,6.71671778653144e-17,0.0,1.0,0.0,6.456806476719152e-17,0.0,1.446895022914648e-16,0.0,9.144094430157834e-18
2007-04-01,7.514201929220636e-18,2.816014242151864e-17,0.0,0.9999999999999999,0.0,2.6535239784228743e-17,0.0,1.1989920210454866e-17,2.7755575615628914e-16,0.0
2007-05-01,3.320786530108045e-17,1.8426087674929394e-17,0.0,0.9999999999999998,4.683535261910815e-17,0.0,0.0,0.0,1.8041124150158794e-16,1.769659980301387e-16
