,1/N,Mean-Variance,Minimum Variance
1989-10-01,0.022553977044706575,1.6018758300099624e-15,0.026310739235802842
1989-11-01,0.021603259475158842,1.7205032466204286e-15,0.02430279669664992
1989-12-01,0.01702010465436514,1.6491947430229972e-15,0.08180610749077111
1990-01-01,0.023362046975256567,2.57118051665666e-15,0.023705839072306976
1990-02-01,0.026344586853404434,2.014050757936154e-15,0.08581317490907989
1990-03-01,0.01828180181598177,2.3469815563681608e-15,0.06048342704110332
1990-04-01,0.019395024720675724,2.368629971851566e-15,0.07576158595996174
1990-05-01,0.013875848750372358,2.0115596076106507e-15,0.06437265698638074
1990-06-01,0.017131444904540313,4.5087405189596265e-15,0.04305758769512022
1990-07-01,0.02064562755962414,1.71924091688172e-15,0.013407752065580682
1990-08-01,0.03490784692772485,1.7115915186981156e-15,0.019332141461625874
1990-09-01,0.03448854355216108,2.9192450722582204e-15,0.042810740633882
1990-10-01,0.03818130054725476,2.6875815190825227e-15,0.0030833213418076876
1990-11-01,0.034819763985044966,2.6010819910596103e-15,0.06732789045119934
1990-12-01,0.030331460094381257,2.319898167936627e-15,0.07774747727325775
1991-01-01,0.01973636709564741,2.7860707272691085e-15,0.028295278352844365
1991-02-01,0.03709970247996737,1.5024664274802288e-15,0.06975725213801541
1991-03-01,0.02072134800167101,3.2821926364464223e-15,0.025450542167531495
1991-04-01,0.020127067268053786,2.2987106815782986e-15,0.010109300364649857
1991-05-01,0.014627805829125595,9.940774678545632e-16,0.04582642590427885
1991-06-01,0.033604351615096575,1.995836624328985e-15,0.0015026851758450106
1991-07-01,0.012587719756946975,1.802422827450968e-15,0.014368352540824766
1991-08-01,0.01488648337963408,1.9611641340682454e-15,0.010061446347938204
1991-09-01,0.014536928487690517,8.05732644404398e-16,0.023849934261579435
1991-10-01,0.015431256631802337,1.921128605037532e-15,0.0961677069285095
1991-11-01,0.01674760156342528,2.2938595103684827e-15,0.016571519095234792
1991-12-01,0.02698325241961469,2.7848727711718597e-15,0.029382240898004616
1992-01-01,0.03159632162225888,8.218250864875031e-16,0.0494672664434725
1992-02-01,0.04159301756593464,1.1612156908092606e-15,0.020645233825404903
1992-03-01,0.0284548059185996,7.593510671933605e-16,0.030520269382290584
1992-04-01,0.015214418386300055,1.4756618668206398e-15,0.008769255198594946
1992-05-01,0.034696067909064265,2.5671941320531027e-15,0.04069925004569697
1992-06-01,0.014321685559879407,3.531111134060668e-15,0.010493138211740395
1992-07-01,0.021576679134818713,3.3969357102071126e-15,0.022232553534053366
1992-08-01,0.014323454536721264,1.288502369217376e-15,0.03491172438904013
1992-09-01,0.02652910832719231,1.9461179660919986e-15,0.02786740758325498
1992-10-01,0.017088188493887213,3.767524092148333e-15,0.002014755746495518
1992-11-01,0.018744793113024183,1.5048507486512278e-15,0.03291164092598536
1992-12-01,0.023711696490284956,2.673487096930272e-15,0.01290345096411629
1993-01-01,0.016420167737120198,2.665525215866588e-15,0.002620350701873838
1993-02-01,0.028587162819970674,1.1002865323370604e-15,0.0052751166383009805
1993-03-01,0.0337423617666054,1.1870167401178928e-15,0.024628264241820873
1993-04-01,0.012159476207178735,1.0432739981105028e-15,0.00876383430593536
1993-05-01,0.032601245946581814,1.2995981153672422e-15,0.018618814785408302
1993-06-01,0.01862583583680595,2.769769849532988e-15,0.0158541520940103
1993-07-01,0.022946513849092645,0.07030308203031026,0.018913001196320653
1993-08-01,0.02236137034138115,0.9482579185349993,0.016600328564850025
1993-09-01,0.009802788691163994,0.010848928372771334,0.013426386111814334
1993-10-01,0.011379417142057896,0.4683823188097312,0.02493273928725353
1993-11-01,0.028843996605441,0.2462832334891473,0.0076298095781203055
1993-12-01,0.028181439359291002,1.040497347863689,0.012579968164212117
1994-01-01,0.01447993158158603,0.11472999679408037,0.015546767353198349
1994-02-01,0.02184050987097777,0.3114302830557126,0.013211946866902783
1994-03-01,0.02432376965069985,0.232479469300111,0.03882874781876888
1994-04-01,0.009112820405340269,0.23384417083418185,0.001090425953051341
1994-05-01,0.01231785852070949,0.17574570141045995,0.014888764774626096
1994-06-01,0.02456101865608387,0.5779445221740104,0.017100581937474737
1994-07-01,0.008951419791784487,0.4127739658194341,0.0035594470931029332
1994-08-01,0.009243004703942626,0.23716625728532595,0.03250334501121593
1994-09-01,0.02905976333067374,1.4720630147971379e-15,0.04857973060566615
1994-10-01,0.014953347186570529,2.2550325749317677e-15,0.010232901252242958
1994-11-01,0.021390657653326567,3.807590222426922e-15,0.04030004549009575
1994-12-01,0.020432796643449158,2.745137935627225e-15,0.007652571235868596
1995-01-01,0.01481466830175246,1.2503274181279899e-15,0.0025432170017098384
1995-02-01,0.027427942707821673,1.6870081147461952e-15,0.06580397356534579
1995-03-01,0.01584484970055834,1.9492978196970225e-15,0.024960327984100212
1995-04-01,0.015425168407693063,2.1716595199139932e-15,0.02890125503184619
1995-05-01,0.013760634505123145,3.2189420821601298e-15,0.02137193444333
1995-06-01,0.012351878856944207,1.6971181321195255e-15,0.03837542832914898
1995-07-01,0.02437317897896142,1.7468063309413502e-15,0.021640800658616895
1995-08-01,0.01692526044432431,1.5218207206994524e-15,0.04060566169635477
1995-09-01,0.01462629953628769,1.98271557402662e-15,0.006462260103752647
1995-10-01,0.022743480523485585,1.336222737713789e-15,0.021835338870873102
1995-11-01,0.02178311889143815,0.20879952864786402,0.01049876254478665
1995-12-01,0.016831360208760998,0.18783853763144154,0.032546270955775045
1996-01-01,0.024299175040075033,1.3647437271611458,0.049953365931222474
1996-02-01,0.013159436135733532,0.5987130701859423,0.0035134168220675274
1996-03-01,0.022102553481078216,2.9431728411820133e-15,0.040490382248192146
1996-04-01,0.026674687151774512,0.2601075808143093,0.012890527238741208
1996-05-01,0.02454383666125591,0.23580334758406296,0.047411157750703446
1996-06-01,0.0157961386350796,0.21846946599456965,0.01927970049492774
1996-07-01,0.021804405780833494,0.6020403050569479,0.027534717235109522
1996-08-01,0.014952914227538847,0.5782655911130733,0.00825462763307808
1996-09-01,0.015248502761141702,0.7985278291193831,0.10061136884873258
1996-10-01,0.022023268061473658,1.1131133766883796,0.09768961038721896
1996-11-01,0.022059040954117606,0.33517114725721114,0.044784254471998984
1996-12-01,0.015292308563126786,0.14682658575309515,0.045745153551649674
1997-01-01,0.016971042276258688,1.0810922942112677,0.009773304926681041
1997-02-01,0.023798364340714542,0.9434190921404484,0.06855575953156151
1997-03-01,0.027957676821165525,1.680613306093672,0.02434051716625494
1997-04-01,0.027089397089397088,3.920194697974757e-15,0.020771295450638758
1997-05-01,0.021979972602211115,1.7818423581168677e-15,0.05129856075781946
1997-06-01,0.010509837740553626,0.07627826477147355,0.0686512990033685
1997-07-01,0.015617762658440754,1.4173020890804133,0.03791071065485554
1997-08-01,0.029497273810752705,0.2538082332814875,0.08008864188833272
1997-09-01,0.02305950175005146,0.3543123931502306,0.029702667184322892
1997-10-01,0.01383390990377896,0.16031799466965466,0.018244441252959626
1997-11-01,0.023872679045092812,0.23470343733542995,0.3715210100599703
1997-12-01,0.030508932621683388,0.17952541620614648,0.2671300329485745
1998-01-01,0.029306279777336422,0.17991996632396828,0.13819016572446777
1998-02-01,0.032032690486868895,1.503163496405066e-15,0.17222919526484182
1998-03-01,0.02425674602803954,5.506046925003848e-16,0.09385329246580151
1998-04-01,0.01499185636907692,1.157684820348617e-15,0.06425360647705633
1998-05-01,0.024020908485625436,1.3784399390622128e-15,0.056174213416382124
1998-06-01,0.027248044738015176,3.0969864491679596e-16,0.046198700991223404
1998-07-01,0.021950180141789025,9.182292080305617e-16,0.01840263318610218
1998-08-01,0.026653969424221033,1.8336670180682006e-15,0.07040685508778571
1998-09-01,0.04649660962221504,7.495079816585724e-16,0.1120435796869034
1998-10-01,0.04825347381852643,1.7785250431909887e-15,0.21757803083845223
1998-11-01,0.0334709621848346,2.3151582200658717e-15,0.05313770761241222
1998-12-01,0.024105186267348422,7.376921037652751e-16,0.042263095850026515
1999-01-01,0.04209558649317173,8.849442663317972e-16,0.058654533738229486
1999-02-01,0.04695069862435315,0.8985623311904976,0.075316812537552
1999-03-01,0.021591320446388867,0.5475019646350019,0.04143965776944339
1999-04-01,0.03713742826120678,0.9821602219262261,0.08129529530808527
1999-05-01,0.04154105119815403,0.4679399729374197,0.19582061475982565
1999-06-01,0.025635524611398994,0.1334741116001529,0.0726206164307462
1999-07-01,0.03503369742040435,0.06950755598156574,0.041755585206830925
1999-08-01,0.021438558973515376,7.771577556128241e-16,0.06698415400582444
1999-09-01,0.038511680634843504,5.095597300652902e-16,0.019633081963424157
1999-10-01,0.03236695502981819,8.690634391599153e-16,0.12090355305923564
1999-11-01,0.0297482403384621,1.2533101404084195e-15,0.04182953195668139
1999-12-01,0.04045580669688269,1.102304396640558e-15,0.056596324982900924
2000-01-01,0.05351240267446242,4.78412322579029e-16,0.07151972908227301
2000-02-01,0.04749517909161774,9.96034299379809e-16,0.15667239776917868
2000-03-01,0.04484117974861204,1.5440531780082565e-15,0.1635247637204988
2000-04-01,0.03149862050510739,1.230409294292561e-15,0.1979525910029148
2000-05-01,0.051907473668296164,4.3885085697603757e-16,0.0850036500232073
2000-06-01,0.06586923139093186,4.4144175868799663e-16,0.09816932091725163
2000-07-01,0.05577181542137487,1.2436502810257972e-15,0.049117711488592765
2000-08-01,0.03695114690240478,2.8402020638890495e-15,0.02913420796616902
2000-09-01,0.04474926617966968,5.850289863844491e-16,0.24002993207111428
